"x","y"
73.360287,759.33540144
120.93674166,707.78825712
166.53298158,654.25063788
214.11969642,576.9299214
251.7848172,489.69787104
283.50929376,416.34784422
305.32243644,356.86958076
335.05643808,331.0960086
386.6035824,317.21398506
430.21960758,317.21398506
452.03275026,329.10553368
467.89498854,364.8006999
497.62899018,392.5544868
584.86104054,440.13094146
650.2902084,521.4223476
636.40818486,576.9299214
628.47706572,644.339304
634.42797012,731.57135436
666.15244668,844.58723706
735.54204402,904.06550052
