core,layer,layercode,x,y
sl2,2,sl2/2,2.4059,8.9846
sl2,2,sl2/2,2.8194,8.5335
sl2,2,sl2/2,3.4209,8.1199
sl2,2,sl2/2,4.1727,7.7816
sl2,2,sl2/2,4.699,7.7064
sl2,2,sl2/2,5.1877,7.5936
sl2,2,sl2/2,5.6764,7.4809
sl2,2,sl2/2,6.4659,7.4809
sl2,2,sl2/2,7.0674,7.6312
sl2,2,sl2/2,7.6688,7.8568
sl2,2,sl2/2,8.1951,8.1951
sl2,2,sl2/2,8.7966,8.6086
sl2,2,sl2/2,9.2101,8.8342
sl2,2,sl2/2,9.3605,8.9094
sl2,3,sl2/3,2.3307,12.8566
sl2,3,sl2/3,2.8946,12.5182
sl2,3,sl2/3,3.3833,12.2927
sl2,3,sl2/3,3.9096,12.2551
sl2,3,sl2/3,4.5111,12.1799
sl2,3,sl2/3,5.3757,12.1047
sl2,3,sl2/3,6.5035,12.1047
sl2,3,sl2/3,7.5561,12.1799
sl2,3,sl2/3,8.4583,12.5558
sl2,3,sl2/3,9.1349,13.0069
sl2,3,sl2/3,9.3605,13.2701
sl2,3,sl2/3,9.4733,13.4205
sl2,1,sl2/1,2.5563,2.4811
sl2,1,sl2/1,3.1953,2.1052
sl2,1,sl2/1,4.06,1.6917
sl2,1,sl2/1,4.9622,1.5037
sl2,1,sl2/1,5.8644,1.3909
sl2,1,sl2/1,6.7666,1.5413
sl2,1,sl2/1,7.5936,1.8796
sl2,1,sl2/1,8.4207,2.3307
sl2,1,sl2/1,8.947,2.7066
sl2,1,sl2/1,9.2853,3.1953
sl2,1,sl2/1,9.586,3.684
suzie1,1,suzie1/1,0.1923,3.5468
suzie1,1,suzie1/1,0.4701,2.9913
suzie1,1,suzie1/1,0.9401,2.2007
suzie1,1,suzie1/1,2.0084,1.6666
suzie1,1,suzie1/1,2.799,1.6238
suzie1,1,suzie1/1,3.6323,1.6238
suzie1,1,suzie1/1,4.551,1.7948
suzie1,1,suzie1/1,5.3843,2.1153
suzie1,1,suzie1/1,6.3244,2.564
suzie1,1,suzie1/1,6.8159,3.1836
suzie1,2,suzie1/2,0.2564,5.6834
suzie1,2,suzie1/2,0.2564,5.0852
suzie1,2,suzie1/2,0.4487,4.2519
suzie1,2,suzie1/2,0.5983,3.5041
suzie1,2,suzie1/2,1.0897,2.9272
suzie1,2,suzie1/2,1.8161,2.7135
suzie1,2,suzie1/2,2.8417,2.4999
suzie1,2,suzie1/2,3.9314,2.4999
suzie1,2,suzie1/2,5.1279,2.7776
suzie1,2,suzie1/2,5.9826,3.269
suzie1,2,suzie1/2,6.5167,3.8673
suzie1,2,suzie1/2,6.6877,4.6365
suzie1,2,suzie1/2,6.8159,5.2347
suzie1,2,suzie1/2,6.8586,5.5552
suzie1,3,suzie1/3,0.2778,10.5763
suzie1,3,suzie1/3,0.5769,9.7644
suzie1,3,suzie1/3,0.8974,9.0166
suzie1,3,suzie1/3,1.5597,8.0551
suzie1,3,suzie1/3,2.0939,7.35
suzie1,3,suzie1/3,2.5853,7.0295
suzie1,3,suzie1/3,2.9485,6.9868
suzie1,3,suzie1/3,3.2263,6.9868
suzie1,3,suzie1/3,3.8246,7.0509
suzie1,3,suzie1/3,4.7006,7.4568
suzie1,3,suzie1/3,5.1493,8.0765
suzie1,3,suzie1/3,5.5125,8.7175
suzie1,3,suzie1/3,5.8757,9.508
suzie1,3,suzie1/3,6.3458,10.3413
suzie1,3,suzie1/3,6.4954,10.7686
suzie1,4,suzie1/4,0.1709,7.7987
suzie1,4,suzie1/4,0.3205,7.2432
suzie1,4,suzie1/4,0.7265,6.3244
suzie1,4,suzie1/4,1.2392,5.5339
suzie1,4,suzie1/4,1.8589,4.957
suzie1,4,suzie1/4,2.6067,4.4869
suzie1,4,suzie1/4,3.269,4.3374
suzie1,4,suzie1/4,3.8246,4.4442
suzie1,4,suzie1/4,4.6365,4.8074
suzie1,4,suzie1/4,5.2561,5.3416
suzie1,4,suzie1/4,5.7048,5.8971
suzie1,4,suzie1/4,6.068,6.944
suzie1,4,suzie1/4,6.3458,7.7987
suzie1,4,suzie1/4,6.3458,8.2901
suzie1,4,suzie1/4,6.4526,8.867
suzie1,4,suzie1/4,6.5381,9.5294
suzie1,4,suzie1/4,6.6663,10.2558
suzie1,4,suzie1/4,6.7304,10.5977
whistler_gc4,1,whistler_gc4/1,0.4363,3.2518
whistler_gc4,1,whistler_gc4/1,0.7896,2.9505
whistler_gc4,1,whistler_gc4/1,1.2051,2.6908
whistler_gc4,1,whistler_gc4/1,1.7869,2.3375
whistler_gc4,1,whistler_gc4/1,2.3375,2.109
whistler_gc4,1,whistler_gc4/1,2.8674,2.0674
whistler_gc4,1,whistler_gc4/1,3.5115,2.1401
whistler_gc4,1,whistler_gc4/1,4.3322,2.296
whistler_gc4,1,whistler_gc4/1,4.9452,2.4934
whistler_gc4,1,whistler_gc4/1,5.527,2.9609
whistler_gc4,1,whistler_gc4/1,5.7244,3.1998
whistler_gc8,1,whistler_gc8/1,0.5686,2.7156
whistler_gc8,1,whistler_gc8/1,0.9804,2.5294
whistler_gc8,1,whistler_gc8/1,1.5784,2.2843
whistler_gc8,1,whistler_gc8/1,2.3823,2.1176
whistler_gc8,1,whistler_gc8/1,2.9509,2.1176
whistler_gc8,1,whistler_gc8/1,3.6764,2.098
whistler_gc8,1,whistler_gc8/1,4.1176,2.1666
whistler_gc8,1,whistler_gc8/1,4.6666,2.3235
whistler_gc8,1,whistler_gc8/1,5.1274,2.4902
whistler_gc8,1,whistler_gc8/1,5.4999,2.7156
whistler_gc8,1,whistler_gc8/1,5.9117,2.8823
whistler_gc8,1,whistler_gc8/1,6.4901,3.245
longlake_pc1,1,longlake_pc1/1,0.715,7.4008
longlake_pc1,1,longlake_pc1/1,1.1787,6.8984
longlake_pc1,1,longlake_pc1/1,1.6231,6.3766
longlake_pc1,1,longlake_pc1/1,2.0869,5.623
longlake_pc1,1,longlake_pc1/1,2.454,4.7728
longlake_pc1,1,longlake_pc1/1,2.7632,4.0579
longlake_pc1,1,longlake_pc1/1,2.9758,3.4782
longlake_pc1,1,longlake_pc1/1,3.2656,3.227
longlake_pc1,1,longlake_pc1/1,3.768,3.0917
longlake_pc1,1,longlake_pc1/1,4.1931,3.0917
longlake_pc1,1,longlake_pc1/1,4.4057,3.2076
longlake_pc1,1,longlake_pc1/1,4.5603,3.5555
longlake_pc1,1,longlake_pc1/1,4.8501,3.826
longlake_pc1,1,longlake_pc1/1,5.7003,4.2897
longlake_pc1,1,longlake_pc1/1,6.338,5.082
longlake_pc1,1,longlake_pc1/1,6.2027,5.623
longlake_pc1,1,longlake_pc1/1,6.1254,6.28
longlake_pc1,1,longlake_pc1/1,6.1834,7.1302
longlake_pc1,1,longlake_pc1/1,6.4926,8.2317
longlake_pc1,1,longlake_pc1/1,7.1689,8.8114
menounos_cheak1,1,menounos_cheak1/1,0.4881,1.0594
menounos_cheak1,1,menounos_cheak1/1,0.5952,0.8452
menounos_cheak1,1,menounos_cheak1/1,0.8214,0.619
menounos_cheak1,1,menounos_cheak1/1,1.3094,0.4643
menounos_cheak1,1,menounos_cheak1/1,1.738,0.4762
menounos_cheak1,1,menounos_cheak1/1,2.3451,0.5476
menounos_cheak1,1,menounos_cheak1/1,3.0831,0.8095
menounos_cheak1,1,menounos_cheak1/1,3.464,1.0714
menounos_cheak1,1,menounos_cheak1/1,3.5355,1.2499
menounos_cheak1,2,menounos_cheak1/2,0.4166,1.4404
menounos_cheak1,2,menounos_cheak1/2,0.5357,1.238
menounos_cheak1,2,menounos_cheak1/2,0.8095,1.1071
menounos_cheak1,2,menounos_cheak1/2,1.238,1.0714
menounos_cheak1,2,menounos_cheak1/2,1.5118,1.0714
menounos_cheak1,2,menounos_cheak1/2,1.8927,1.0594
menounos_cheak1,2,menounos_cheak1/2,2.2736,1.0952
menounos_cheak1,2,menounos_cheak1/2,2.7022,1.2142
menounos_cheak1,2,menounos_cheak1/2,3.0593,1.3213
menounos_cheak1,2,menounos_cheak1/2,3.3212,1.488
menounos_cheak1,2,menounos_cheak1/2,3.4164,1.607
menounos_cheak1,2,menounos_cheak1/2,3.4759,1.7142
menounos_cheak1,3,menounos_cheak1/3,0.4166,1.8213
menounos_cheak1,3,menounos_cheak1/3,0.5595,1.6546
menounos_cheak1,3,menounos_cheak1/3,0.7261,1.5832
menounos_cheak1,3,menounos_cheak1/3,0.9999,1.5356
menounos_cheak1,3,menounos_cheak1/3,1.3094,1.5475
menounos_cheak1,3,menounos_cheak1/3,1.8213,1.607
menounos_cheak1,3,menounos_cheak1/3,2.3332,1.7261
menounos_cheak1,3,menounos_cheak1/3,2.7498,1.8094
